CpG,Beta
cg03005261,0.472261336
cg21637050,0.273176467
cg16728516,0.231879545
cg14267725,0.208906954
cg06500161,0.182254958
cg04804648,0.127619143
cg18909879,0.089367033
cg25921813,0.086271759
cg21020089,0.085199993
cg16284674,0.074404637
cg15092239,0.061605946
cg07769588,0.057955856
cg07215298,0.053718939
cg09249494,0.052132178
cg10474597,0.051746384
cg11832534,0.048843989
cg25110523,0.047727362
cg04453364,0.046122852
cg19519737,0.043070032
cg18515624,0.041540411
cg18054578,0.035366803
cg18011760,0.031548378
cg08563994,0.030331038
cg01616956,0.029633039
cg02079413,0.027558292
cg06192883,0.026697694
cg15132749,0.024433462
cg22669566,0.023988847
cg25349939,0.023213394
cg04816311,0.022020272
cg26971585,0.022016445
cg13414444,0.020170791
cg02459416,0.020112494
cg15512289,0.019652695
cg15551881,0.019343625
cg02339083,0.018764362
cg21935981,0.018481307
cg09132473,0.017029016
cg26325791,0.016934786
cg24009074,0.015715871
cg18194850,0.015594042
cg10107671,0.014862399
cg10928544,0.014771224
cg14656657,0.014736904
cg02417857,0.014546309
cg02544829,0.014516302
cg07728579,0.014419497
cg27619353,0.013035016
cg02716317,0.011889823
cg06534208,0.011250921
cg08082792,0.010831556
cg07769421,0.010654515
cg14628343,0.009798769
cg01101459,0.009398387
cg25037335,0.009003648
cg03663120,0.00897494
cg23761815,0.008510388
cg17159699,0.008452722
cg06022942,0.008146862
cg11468085,0.007914091
cg26522297,0.007612998
cg13985817,0.00693705
cg19918549,0.006213648
cg07729082,0.005855276
cg25604594,0.005731495
cg17908602,0.00557389
cg08836375,0.005292423
cg16495581,0.005157355
cg14127188,0.005079642
cg16627650,0.004707312
cg10104252,0.004490651
cg08864105,0.004145376
cg22159421,0.004053765
cg24430034,0.003754874
cg01962183,0.003551541
cg06133097,0.003515341
cg23744638,0.003485414
cg06048436,0.003388239
cg20793665,0.003246864
cg23737927,0.003180593
cg14265537,0.003054977
cg12893697,0.002784194
cg19328828,0.002488002
cg19827875,0.002382439
cg16336248,0.002315647
cg26009192,0.002256921
cg20485607,0.001865025
cg07366506,0.001754534
cg16688500,0.001621787
cg09774931,0.001344728
cg19352726,0.001302261
cg00089528,0.001211734
cg11959399,0.001169915
cg08323540,0.001122392
cg12934788,0.001063595
cg10828284,0.000879557
cg10774282,0.00083113
cg14970695,0.000810013
cg18604215,0.00077764
cg26103104,0.000518398
cg03318904,0.00048485
cg15721584,0.000337495
cg17473794,0.000213266
cg20428033,7.96E-05
cg23719516,2.95E-05
cg01975495,1.01E-05
cg10308785,-4.40E-05
cg04424621,-0.000260809
cg20908276,-0.000548661
cg08641963,-0.000724956
ch.8.128185533F,-0.000730618
cg00897404,-0.000900121
cg24733384,-0.001023759
cg05487507,-0.001745501
cg19856897,-0.001786462
cg16558846,-0.002656398
cg14194875,-0.002883512
cg17901584,-0.002953678
cg16240060,-0.003055645
cg01017541,-0.003109205
cg19893929,-0.00318915
cg17058475,-0.003199182
cg27406983,-0.003573454
cg20154657,-0.003994943
cg12138780,-0.004347266
cg25710815,-0.004509536
cg14179389,-0.004631943
cg26836171,-0.004860536
cg03765692,-0.004933151
cg17061862,-0.004999571
cg17768768,-0.005072488
cg19148440,-0.005358593
cg17222645,-0.005551498
cg25078444,-0.005820417
cg02058628,-0.00589529
cg03897456,-0.006169947
cg11580493,-0.00632973
cg01415344,-0.006489054
cg20152539,-0.006809332
cg26086899,-0.007036438
cg22987448,-0.007177333
cg07573872,-0.00741705
cg05768922,-0.008070378
cg02707176,-0.008145385
cg04314111,-0.008150603
cg10980495,-0.008366861
cg26503877,-0.008431432
cg11376147,-0.008565679
cg19276014,-0.009473512
cg00166216,-0.009569252
cg18684041,-0.009841312
cg24169315,-0.009866556
cg10208269,-0.010328254
cg15012027,-0.010541653
cg03658384,-0.010698583
cg00378510,-0.010959255
cg07788167,-0.011215354
cg20450507,-0.011444242
cg01682111,-0.011535602
cg21429551,-0.011883561
cg10640833,-0.01190475
cg16823009,-0.012757018
cg20549250,-0.01293024
cg20052079,-0.013170951
cg08994060,-0.013689565
cg00827581,-0.01372021
cg05842815,-0.014225514
cg06693138,-0.014888425
cg08267072,-0.015547411
cg10537193,-0.01579053
cg22865720,-0.016521228
cg15416179,-0.016966923
cg22381454,-0.017465021
cg26668858,-0.019232339
cg06690548,-0.019511935
cg18715511,-0.019772769
cg07088950,-0.020037082
cg22534374,-0.020621642
cg19102621,-0.021058853
cg10421188,-0.0212141
cg04432599,-0.021458651
cg21566642,-0.022011239
cg05946118,-0.022170135
cg14514032,-0.022583735
cg23051272,-0.024923278
cg24904943,-0.025549953
cg17766560,-0.026536374
cg22612448,-0.026700598
cg22822893,-0.026984406
cg15691775,-0.028250613
cg03746015,-0.028980738
cg21066448,-0.029989817
cg08714407,-0.031083633
cg26921611,-0.03208578
cg20710777,-0.034753022
cg17066943,-0.035123327
cg14476101,-0.040397256
cg08326417,-0.042854574
cg23692193,-0.046268885
cg00879184,-0.046596108
cg08548559,-0.04665396
cg07070043,-0.049322067
cg15921773,-0.052034254
cg11802765,-0.052363982
cg02650017,-0.052646144
cg16398761,-0.052887046
cg11655390,-0.052951981
ch.6.33611621F,-0.053330847
cg05290695,-0.053750048
cg08479571,-0.055585421
cg06946797,-0.055856735
cg01787285,-0.065204887
cg09222732,-0.066375289
ch.2.30415474F,-0.067796288
cg05603985,-0.069211776
cg26950531,-0.069499691
cg13725899,-0.073571823
cg00460789,-0.085168514
cg17649599,-0.091815491
cg10426084,-0.112508922
cg19224713,-0.122155024
cg16704712,-0.12594053
cg07017994,-0.127937205
cg21763598,-0.128501105
cg11133895,-0.159940789
cg00574958,-0.5208761
